編號,交易日期,交易時段
233,2015/12/16,一般
234,2015/12/17,一般
235,2015/12/18,一般
236,2015/12/21,一般
237,2015/12/22,一般
238,2015/12/23,一般
239,2015/12/24,一般
240,2015/12/25,一般
241,2015/12/28,一般
242,2015/12/29,一般
243,2015/12/30,一般
244,2015/12/31,一般
245,2016/1/4,一般
246,2016/1/5,一般
247,2016/1/6,一般
248,2016/1/7,一般
249,2016/1/8,一般
250,2016/1/11,一般
251,2016/1/12,一般
252,2016/1/13,一般
253,2016/1/14,一般
254,2016/1/15,一般
255,2016/1/18,一般
256,2016/1/19,一般
257,2016/1/20,一般
258,2016/1/21,一般
259,2016/1/22,一般
260,2016/1/25,一般
261,2016/1/26,一般
262,2016/1/27,一般
263,2016/1/28,一般
264,2016/1/29,一般
265,2016/1/30,一般
266,2016/2/1,一般
267,2016/2/2,一般
268,2016/2/3,一般
269,2016/2/15,一般
270,2016/2/16,一般
271,2016/2/17,一般
272,2016/2/18,一般
273,2016/2/19,一般
274,2016/2/22,一般
275,2016/2/23,一般
276,2016/2/24,一般
277,2016/2/25,一般
278,2016/2/26,一般
279,2016/3/1,一般
280,2016/3/2,一般
281,2016/3/3,一般
282,2016/3/4,一般
283,2016/3/7,一般
284,2016/3/8,一般
285,2016/3/9,一般
286,2016/3/10,一般
287,2016/3/11,一般
288,2016/3/14,一般
289,2016/3/15,一般
290,2016/3/16,一般
291,2016/3/17,一般
292,2016/3/18,一般
293,2016/3/21,一般
294,2016/3/22,一般
295,2016/3/23,一般
296,2016/3/24,一般
297,2016/3/25,一般
298,2016/3/28,一般
299,2016/3/29,一般
300,2016/3/30,一般
301,2016/3/31,一般
302,2016/4/1,一般
303,2016/4/6,一般
304,2016/4/7,一般
305,2016/4/8,一般
306,2016/4/11,一般
307,2016/4/12,一般
308,2016/4/13,一般
309,2016/4/14,一般
310,2016/4/15,一般
311,2016/4/18,一般
312,2016/4/19,一般
313,2016/4/20,一般
314,2016/4/21,一般
315,2016/4/22,一般
316,2016/4/25,一般
317,2016/4/26,一般
318,2016/4/27,一般
319,2016/4/28,一般
320,2016/4/29,一般
321,2016/5/3,一般
322,2016/5/4,一般
323,2016/5/5,一般
324,2016/5/6,一般
325,2016/5/9,一般
326,2016/5/10,一般
327,2016/5/11,一般
328,2016/5/12,一般
329,2016/5/13,一般
330,2016/5/16,一般
331,2016/5/17,一般
332,2016/5/18,一般
333,2016/5/19,一般
334,2016/5/20,一般
335,2016/5/23,一般
336,2016/5/24,一般
337,2016/5/25,一般
338,2016/5/26,一般
339,2016/5/27,一般
340,2016/5/30,一般
341,2016/5/31,一般
