編號,交易日期,契約,到期月份(週別),收盤價,交易時段,類型,剩餘天數,價平
1015,2018/4/10,MTX,201805,10870,盤後,遠月,25,10900
1016,2018/4/10,MTX,201804W2,10952,一般,近週,1,10950
1016,2018/4/10,MTX,201804,10948,一般,近月,6,10900
1016,2018/4/10,MTX,201805,10925,一般,遠月,25,10900
1017,2018/4/11,MTX,201804W2,10985,盤後,近週,0,11000
1017,2018/4/11,MTX,201804,10984,盤後,近月,5,11000
1017,2018/4/11,MTX,201805,10960,盤後,遠月,24,11000
1018,2018/4/11,MTX,201804W2,10974,一般,近週,0,10950
1018,2018/4/11,MTX,201804,10978,一般,近月,5,11000
1018,2018/4/11,MTX,201805,10955,一般,遠月,24,11000
1019,2018/4/12,MTX,201804,10968,盤後,近月,4,10950
1019,2018/4/12,MTX,201805,10947,盤後,遠月,23,10900
1020,2018/4/12,MTX,201804,10942,一般,近月,4,10950
1020,2018/4/12,MTX,201805,10920,一般,遠月,23,10900
1021,2018/4/13,MTX,201804,10979,盤後,近月,3,11000
1021,2018/4/13,MTX,201805,10957,盤後,遠月,22,11000
1022,2018/4/13,MTX,201804,10956,一般,近月,3,10950
1022,2018/4/13,MTX,201805,10943,一般,遠月,22,10900
1023,2018/4/16,MTX,201804,10938,盤後,近月,2,10950
1023,2018/4/16,MTX,201805,10926,盤後,遠月,21,10900
1024,2018/4/16,MTX,201804,10942,一般,近月,2,10950
1024,2018/4/16,MTX,201805,10930,一般,遠月,21,10900
1025,2018/4/17,MTX,201804,10965,盤後,近月,1,10950
1025,2018/4/17,MTX,201805,10952,盤後,遠月,20,11000
1026,2018/4/17,MTX,201804,10807,一般,近月,1,10800
1026,2018/4/17,MTX,201805,10792,一般,遠月,20,10800
1027,2018/4/18,MTX,201804,10825,盤後,近月,0,10850
1027,2018/4/18,MTX,201805,10808,盤後,遠月,19,10800
1028,2018/4/18,MTX,201804,10846,一般,近月,0,10850
1028,2018/4/18,MTX,201804W4,10856,一般,遠週,5,10850
1028,2018/4/18,MTX,201805,10845,一般,遠月,19,10800
1029,2018/4/19,MTX,201804W4,10861,盤後,近週,4,10850
1029,2018/4/19,MTX,201805,10842,盤後,近月,18,10800
1029,2018/4/19,MTX,201806,10821,盤後,遠月,42,10800
1030,2018/4/19,MTX,201804W4,10978,一般,近週,4,11000
1030,2018/4/19,MTX,201805,10969,一般,近月,18,11000
1030,2018/4/19,MTX,201806,10946,一般,遠月,42,10900
1031,2018/4/20,MTX,201804W4,10887,盤後,近週,3,10900
1031,2018/4/20,MTX,201805,10881,盤後,近月,17,10900
1031,2018/4/20,MTX,201806,10858,盤後,遠月,41,10900
1032,2018/4/20,MTX,201804W4,10788,一般,近週,3,10800
1032,2018/4/20,MTX,201805,10787,一般,近月,17,10800
1032,2018/4/20,MTX,201806,10767,一般,遠月,41,10800
1033,2018/4/23,MTX,201804W4,10702,盤後,近週,2,10700
1033,2018/4/23,MTX,201805,10700,盤後,近月,16,10700
1033,2018/4/23,MTX,201806,10682,盤後,遠月,40,10700
1034,2018/4/23,MTX,201804W4,10699,一般,近週,2,10700
1034,2018/4/23,MTX,201805,10692,一般,近月,16,10700
1034,2018/4/23,MTX,201806,10673,一般,遠月,40,10700
1035,2018/4/24,MTX,201804W4,10689,盤後,近週,1,10700
1035,2018/4/24,MTX,201805,10683,盤後,近月,15,10700
1035,2018/4/24,MTX,201806,10666,盤後,遠月,39,10700
1036,2018/4/24,MTX,201804W4,10586,一般,近週,1,10600
1036,2018/4/24,MTX,201805,10585,一般,近月,15,10600
1036,2018/4/24,MTX,201806,10568,一般,遠月,39,10600
1037,2018/4/25,MTX,201804W4,10466,盤後,近週,0,10450
1037,2018/4/25,MTX,201805,10461,盤後,近月,14,10500
1037,2018/4/25,MTX,201806,10442,盤後,遠月,38,10400
1038,2018/4/25,MTX,201804W4,10566,一般,近週,0,10550
1038,2018/4/25,MTX,201805,10535,一般,近月,14,10500
1038,2018/4/25,MTX,201805W1,10546,一般,遠週,4,10550
1038,2018/4/25,MTX,201806,10514,一般,遠月,38,10500
1039,2018/4/26,MTX,201805W1,10571,盤後,近週,3,10550
1039,2018/4/26,MTX,201805,10563,盤後,近月,13,10600
1039,2018/4/26,MTX,201806,10543,盤後,遠月,37,10500
1040,2018/4/26,MTX,201805W1,10486,一般,近週,3,10500
1040,2018/4/26,MTX,201805,10474,一般,近月,13,10500
1040,2018/4/26,MTX,201806,10454,一般,遠月,37,10500
1041,2018/4/27,MTX,201805W1,10559,盤後,近週,2,10550
1041,2018/4/27,MTX,201805,10550,盤後,近月,12,10600
1041,2018/4/27,MTX,201806,10530,盤後,遠月,36,10500
1042,2018/4/27,MTX,201805W1,10563,一般,近週,2,10550
1042,2018/4/27,MTX,201805,10560,一般,近月,12,10600
1042,2018/4/27,MTX,201806,10542,一般,遠月,36,10500
1043,2018/4/30,MTX,201805W1,10582,盤後,近週,1,10600
1043,2018/4/30,MTX,201805,10580,盤後,近月,11,10600
1043,2018/4/30,MTX,201806,10562,盤後,遠月,35,10600
1044,2018/4/30,MTX,201805W1,10657,一般,近週,1,10650
1044,2018/4/30,MTX,201805,10653,一般,近月,11,10700
1044,2018/4/30,MTX,201806,10636,一般,遠月,35,10600
1045,2018/5/2,MTX,201805W1,10614,盤後,近週,0,10600
1045,2018/5/2,MTX,201805,10610,盤後,近月,10,10600
1045,2018/5/2,MTX,201806,10592,盤後,遠月,34,10600
1046,2018/5/2,MTX,201805W1,10612,一般,近週,0,10600
1046,2018/5/2,MTX,201805,10610,一般,近月,10,10600
1046,2018/5/2,MTX,201805W2,10614,一般,遠週,5,10600
1046,2018/5/2,MTX,201806,10591,一般,遠月,34,10600
1047,2018/5/3,MTX,201805W2,10564,盤後,近週,4,10550
1047,2018/5/3,MTX,201805,10557,盤後,近月,9,10600
1047,2018/5/3,MTX,201806,10540,盤後,遠月,33,10500
1048,2018/5/3,MTX,201805W2,10513,一般,近週,4,10500
1048,2018/5/3,MTX,201805,10505,一般,近月,9,10500
1048,2018/5/3,MTX,201806,10490,一般,遠月,33,10500
1049,2018/5/4,MTX,201805W2,10522,盤後,近週,3,10500
1049,2018/5/4,MTX,201805,10518,盤後,近月,8,10500
1049,2018/5/4,MTX,201806,10501,盤後,遠月,32,10500
1050,2018/5/4,MTX,201805W2,10535,一般,近週,3,10550
1050,2018/5/4,MTX,201805,10523,一般,近月,8,10500
1050,2018/5/4,MTX,201806,10505,一般,遠月,32,10500
1051,2018/5/7,MTX,201805W2,10598,盤後,近週,2,10600
1051,2018/5/7,MTX,201805,10586,盤後,近月,7,10600
1051,2018/5/7,MTX,201806,10567,盤後,遠月,31,10600
1052,2018/5/7,MTX,201805W2,10605,一般,近週,2,10600
1052,2018/5/7,MTX,201805,10596,一般,近月,7,10600
1052,2018/5/7,MTX,201806,10579,一般,遠月,31,10600
1053,2018/5/8,MTX,201805W2,10591,盤後,近週,1,10600
1053,2018/5/8,MTX,201805,10585,盤後,近月,6,10600
1053,2018/5/8,MTX,201806,10566,盤後,遠月,30,10600
1054,2018/5/8,MTX,201805W2,10680,一般,近週,1,10700
1054,2018/5/8,MTX,201805,10668,一般,近月,6,10700
1054,2018/5/8,MTX,201806,10647,一般,遠月,30,10600
1055,2018/5/9,MTX,201805W2,10697,盤後,近週,0,10700
1055,2018/5/9,MTX,201805,10685,盤後,近月,5,10700
1055,2018/5/9,MTX,201806,10668,盤後,遠月,29,10700
1056,2018/5/9,MTX,201805W2,10722,一般,近週,0,10700
1056,2018/5/9,MTX,201805,10703,一般,近月,5,10700
1056,2018/5/9,MTX,201806,10680,一般,遠月,29,10700
1057,2018/5/10,MTX,201805,10740,盤後,近月,4,10750
1057,2018/5/10,MTX,201806,10720,盤後,遠月,28,10700
1058,2018/5/10,MTX,201805,10764,一般,近月,4,10750
1058,2018/5/10,MTX,201806,10742,一般,遠月,28,10700
1059,2018/5/11,MTX,201805,10813,盤後,近月,3,10800
1059,2018/5/11,MTX,201806,10791,盤後,遠月,27,10800
1060,2018/5/11,MTX,201805,10860,一般,近月,3,10850
1060,2018/5/11,MTX,201806,10838,一般,遠月,27,10800
1061,2018/5/14,MTX,201805,10908,盤後,近月,2,10900
1061,2018/5/14,MTX,201806,10884,盤後,遠月,26,10900
1062,2018/5/14,MTX,201805,10957,一般,近月,2,10950
1062,2018/5/14,MTX,201806,10939,一般,遠月,26,10900
1063,2018/5/15,MTX,201805,10958,盤後,近月,1,10950
1063,2018/5/15,MTX,201806,10937,盤後,遠月,25,10900
1064,2018/5/15,MTX,201805,10864,一般,近月,1,10850
1064,2018/5/15,MTX,201806,10850,一般,遠月,25,10900
1065,2018/5/16,MTX,201805,10841,盤後,近月,0,10850
1065,2018/5/16,MTX,201806,10822,盤後,遠月,24,10800
1066,2018/5/16,MTX,201805,10872,一般,近月,0,10850
1066,2018/5/16,MTX,201805W4,10892,一般,遠週,5,10900
1066,2018/5/16,MTX,201806,10884,一般,遠月,24,10900
1067,2018/5/17,MTX,201805W4,10925,盤後,近週,4,10950
1067,2018/5/17,MTX,201806,10914,盤後,近月,23,10900
1067,2018/5/17,MTX,201809,10478,盤後,遠月,88,10500
1068,2018/5/17,MTX,201805W4,10836,一般,近週,4,10850
1068,2018/5/17,MTX,201806,10824,一般,近月,23,10800
1068,2018/5/17,MTX,201807,10589,一般,遠月,43,10600
1069,2018/5/18,MTX,201805W4,10827,盤後,近週,3,10850
1069,2018/5/18,MTX,201806,10819,盤後,近月,22,10800
1069,2018/5/18,MTX,201807,10582,盤後,遠月,42,10600
1070,2018/5/18,MTX,201805W4,10831,一般,近週,3,10850
1070,2018/5/18,MTX,201806,10820,一般,近月,22,10800
1070,2018/5/18,MTX,201807,10582,一般,遠月,42,10600
1071,2018/5/21,MTX,201805W4,10823,盤後,近週,2,10800
1071,2018/5/21,MTX,201806,10814,盤後,近月,21,10800
1071,2018/5/21,MTX,201807,10577,盤後,遠月,41,10600
1072,2018/5/21,MTX,201805W4,10976,一般,近週,2,11000
1072,2018/5/21,MTX,201806,10965,一般,近月,21,11000
1072,2018/5/21,MTX,201807,10722,一般,遠月,41,10700
1073,2018/5/22,MTX,201805W4,10983,盤後,近週,1,11000
1073,2018/5/22,MTX,201806,10975,盤後,近月,20,11000
1073,2018/5/22,MTX,201807,10732,盤後,遠月,40,10700
1074,2018/5/22,MTX,201805W4,10937,一般,近週,1,10950
1074,2018/5/22,MTX,201806,10920,一般,近月,20,10900
1074,2018/5/22,MTX,201807,10682,一般,遠月,40,10700
1075,2018/5/23,MTX,201805W4,10925,盤後,近週,0,10950
1075,2018/5/23,MTX,201806,10905,盤後,近月,19,10900
1075,2018/5/23,MTX,201807,10665,盤後,遠月,39,10700
1076,2018/5/23,MTX,201805W4,10920,一般,近週,0,10900
1076,2018/5/23,MTX,201806,10858,一般,近月,19,10900
1076,2018/5/23,MTX,201805W5,10875,一般,遠週,5,10900
1076,2018/5/23,MTX,201807,10617,一般,遠月,39,10600
1077,2018/5/24,MTX,201805W5,10908,盤後,近週,4,10900
1077,2018/5/24,MTX,201806,10890,盤後,近月,18,10900
1077,2018/5/24,MTX,201807,10649,盤後,遠月,38,10600
1078,2018/5/24,MTX,201805W5,10935,一般,近週,4,10950
1078,2018/5/24,MTX,201806,10918,一般,近月,18,10900
1078,2018/5/24,MTX,201807,10677,一般,遠月,38,10700
1079,2018/5/25,MTX,201805W5,10940,盤後,近週,3,10950
1079,2018/5/25,MTX,201806,10913,盤後,近月,17,10900
1079,2018/5/25,MTX,201807,10671,盤後,遠月,37,10700
1080,2018/5/25,MTX,201805W5,10947,一般,近週,3,10950
1080,2018/5/25,MTX,201806,10932,一般,近月,17,10900
1080,2018/5/25,MTX,201807,10683,一般,遠月,37,10700
1081,2018/5/28,MTX,201805W5,10953,盤後,近週,2,10950
1081,2018/5/28,MTX,201806,10937,盤後,近月,16,10900
1081,2018/5/28,MTX,201807,10690,盤後,遠月,36,10700
1082,2018/5/28,MTX,201805W5,10996,一般,近週,2,11000
1082,2018/5/28,MTX,201806,10983,一般,近月,16,11000
1082,2018/5/28,MTX,201807,10728,一般,遠月,36,10700
1083,2018/5/29,MTX,201805W5,10989,盤後,近週,1,11000
1083,2018/5/29,MTX,201806,10980,盤後,近月,15,11000
1083,2018/5/29,MTX,201807,10725,盤後,遠月,35,10700
1084,2018/5/29,MTX,201805W5,10957,一般,近週,1,10950
1084,2018/5/29,MTX,201806,10928,一般,近月,15,10900
1084,2018/5/29,MTX,201807,10674,一般,遠月,35,10700
1085,2018/5/30,MTX,201805W5,10888,盤後,近週,0,10900
1085,2018/5/30,MTX,201806,10865,盤後,近月,14,10900
1085,2018/5/30,MTX,201807,10612,盤後,遠月,34,10600
1086,2018/5/30,MTX,201805W5,10833,一般,近週,0,10850
1086,2018/5/30,MTX,201806,10775,一般,近月,14,10800
1086,2018/5/30,MTX,201806W1,10801,一般,遠週,5,10800
1086,2018/5/30,MTX,201807,10525,一般,遠月,34,10500
1087,2018/5/31,MTX,201806W1,10870,盤後,近週,4,10850
1087,2018/5/31,MTX,201806,10850,盤後,近月,13,10900
1087,2018/5/31,MTX,201807,10597,盤後,遠月,33,10600
1088,2018/5/31,MTX,201806W1,10887,一般,近週,4,10900
1088,2018/5/31,MTX,201806,10865,一般,近月,13,10900
1088,2018/5/31,MTX,201807,10610,一般,遠月,33,10600
1089,2018/6/1,MTX,201806W1,10869,盤後,近週,3,10850
1089,2018/6/1,MTX,201806,10835,盤後,近月,12,10800
1089,2018/6/1,MTX,201807,10580,盤後,遠月,32,10600
1090,2018/6/1,MTX,201806W1,10941,一般,近週,3,10950
1090,2018/6/1,MTX,201806,10914,一般,近月,12,10900
1090,2018/6/1,MTX,201807,10657,一般,遠月,32,10700
1091,2018/6/4,MTX,201806W1,10994,盤後,近週,2,11000
1091,2018/6/4,MTX,201806,10965,盤後,近月,11,11000
1091,2018/6/4,MTX,201807,10707,盤後,遠月,31,10700
1092,2018/6/4,MTX,201806W1,11109,一般,近週,2,11100
1092,2018/6/4,MTX,201806,11085,一般,近月,11,11100
1092,2018/6/4,MTX,201807,10820,一般,遠月,31,10800
1093,2018/6/5,MTX,201806W1,11150,盤後,近週,1,11150
1093,2018/6/5,MTX,201806,11124,盤後,近月,10,11100
1093,2018/6/5,MTX,201807,10863,盤後,遠月,30,10900
1094,2018/6/5,MTX,201806W1,11096,一般,近週,1,11100
1094,2018/6/5,MTX,201806,11069,一般,近月,10,11100
1094,2018/6/5,MTX,201807,10809,一般,遠月,30,10800
1095,2018/6/6,MTX,201806W1,11106,盤後,近週,0,11100
1095,2018/6/6,MTX,201806,11084,盤後,近月,9,11100
1095,2018/6/6,MTX,201807,10820,盤後,遠月,29,10800
1096,2018/6/6,MTX,201806W1,11199,一般,近週,0,11200
1096,2018/6/6,MTX,201806,11199,一般,近月,9,11200
1096,2018/6/6,MTX,201806W2,11209,一般,遠週,5,11200
1096,2018/6/6,MTX,201807,10938,一般,遠月,29,10900
1097,2018/6/7,MTX,201806W2,11256,盤後,近週,4,11250
1097,2018/6/7,MTX,201806,11253,盤後,近月,8,11300
1097,2018/6/7,MTX,201807,10994,盤後,遠月,28,11000
1098,2018/6/7,MTX,201806W2,11246,一般,近週,4,11250
1098,2018/6/7,MTX,201806,11228,一般,近月,8,11200
1098,2018/6/7,MTX,201807,10964,一般,遠月,28,11000
1099,2018/6/8,MTX,201806W2,11189,盤後,近週,3,11200
1099,2018/6/8,MTX,201806,11208,盤後,近月,7,11200
1099,2018/6/8,MTX,201807,10945,盤後,遠月,27,10900
1100,2018/6/8,MTX,201806W2,11145,一般,近週,3,11150
1100,2018/6/8,MTX,201806,11125,一般,近月,7,11100
1100,2018/6/8,MTX,201807,10862,一般,遠月,27,10900
1101,2018/6/11,MTX,201806W2,11153,盤後,近週,2,11150
1101,2018/6/11,MTX,201806,11131,盤後,近月,6,11100
1101,2018/6/11,MTX,201807,10870,盤後,遠月,26,10900
1102,2018/6/11,MTX,201806W2,11162,一般,近週,2,11150
1102,2018/6/11,MTX,201806,11128,一般,近月,6,11100
1102,2018/6/11,MTX,201807,10867,一般,遠月,26,10900
1103,2018/6/12,MTX,201806W2,11154,盤後,近週,1,11150
1103,2018/6/12,MTX,201806,11137,盤後,近月,5,11150
1103,2018/6/12,MTX,201807,10876,盤後,遠月,25,10900
1104,2018/6/12,MTX,201806W2,11159,一般,近週,1,11150
1104,2018/6/12,MTX,201806,11142,一般,近月,5,11150
1104,2018/6/12,MTX,201807,10886,一般,遠月,25,10900
1105,2018/6/13,MTX,201806W2,11126,盤後,近週,0,11150
1105,2018/6/13,MTX,201806,11139,盤後,近月,4,11150
1105,2018/6/13,MTX,201807,10884,盤後,遠月,24,10900
1106,2018/6/13,MTX,201806W2,11168,一般,近週,0,11150
1106,2018/6/13,MTX,201806,11145,一般,近月,4,11150
1106,2018/6/13,MTX,201807,10894,一般,遠月,24,10900
1107,2018/6/14,MTX,201806,11108,盤後,近月,3,11100
1107,2018/6/14,MTX,201807,10855,盤後,遠月,23,10900
1108,2018/6/14,MTX,201806,10984,一般,近月,3,11000
1108,2018/6/14,MTX,201807,10741,一般,遠月,23,10700
1109,2018/6/15,MTX,201806,11010,盤後,近月,2,11000
1109,2018/6/15,MTX,201807,10768,盤後,遠月,22,10800
1110,2018/6/15,MTX,201806,11055,一般,近月,2,11050
1110,2018/6/15,MTX,201807,10807,一般,遠月,22,10800
1111,2018/6/19,MTX,201806,11021,盤後,近月,1,11000
1111,2018/6/19,MTX,201807,10780,盤後,遠月,21,10800
1112,2018/6/19,MTX,201806,10873,一般,近月,1,10850
1112,2018/6/19,MTX,201807,10629,一般,遠月,21,10600
1113,2018/6/20,MTX,201806,10865,盤後,近月,0,10850
1113,2018/6/20,MTX,201807,10610,盤後,遠月,20,10600
1114,2018/6/20,MTX,201806,10936,一般,近月,0,10950
1114,2018/6/20,MTX,201806W4,10905,一般,遠週,5,10900
1114,2018/6/20,MTX,201807,10743,一般,遠月,20,10700
1115,2018/6/21,MTX,201806W4,10886,盤後,近週,4,10900
1115,2018/6/21,MTX,201807,10724,盤後,近月,19,10700
1115,2018/6/21,MTX,201809,10539,盤後,遠月,64,10500
1116,2018/6/21,MTX,201806W4,10871,一般,近週,4,10850
1116,2018/6/21,MTX,201807,10705,一般,近月,19,10700
1116,2018/6/21,MTX,201808,10575,一般,遠月,39,10600
1117,2018/6/22,MTX,201806W4,10789,盤後,近週,3,10800
1117,2018/6/22,MTX,201807,10626,盤後,近月,18,10600
1117,2018/6/22,MTX,201808,10488,盤後,遠月,38,10500
1118,2018/6/22,MTX,201806W4,10817,一般,近週,3,10800
1118,2018/6/22,MTX,201807,10655,一般,近月,18,10700
1118,2018/6/22,MTX,201808,10523,一般,遠月,38,10500
1119,2018/6/25,MTX,201806W4,10833,盤後,近週,2,10850
1119,2018/6/25,MTX,201807,10669,盤後,近月,17,10700
1119,2018/6/25,MTX,201808,10531,盤後,遠月,37,10500
1120,2018/6/25,MTX,201806W4,10748,一般,近週,2,10750
1120,2018/6/25,MTX,201807,10585,一般,近月,17,10600
1120,2018/6/25,MTX,201808,10450,一般,遠月,37,10500
1121,2018/6/26,MTX,201806W4,10698,盤後,近週,1,10700
1121,2018/6/26,MTX,201807,10532,盤後,近月,16,10500
1121,2018/6/26,MTX,201808,10398,盤後,遠月,36,10400
1122,2018/6/26,MTX,201806W4,10756,一般,近週,1,10750
1122,2018/6/26,MTX,201807,10592,一般,近月,16,10600
1122,2018/6/26,MTX,201808,10460,一般,遠月,36,10500
1123,2018/6/27,MTX,201806W4,10757,盤後,近週,0,10750
1123,2018/6/27,MTX,201807,10573,盤後,近月,15,10600
1123,2018/6/27,MTX,201808,10441,盤後,遠月,35,10400
1124,2018/6/27,MTX,201806W4,10727,一般,近週,0,10750
1124,2018/6/27,MTX,201807,10554,一般,近月,15,10600
1124,2018/6/27,MTX,201807W1,10685,一般,遠週,5,10700
1124,2018/6/27,MTX,201808,10425,一般,遠月,35,10400
1125,2018/6/28,MTX,201807W1,10645,盤後,近週,4,10650
1125,2018/6/28,MTX,201807,10515,盤後,近月,14,10500
1125,2018/6/28,MTX,201808,10384,盤後,遠月,34,10400
1126,2018/6/28,MTX,201807W1,10647,一般,近週,4,10650
1126,2018/6/28,MTX,201807,10523,一般,近月,14,10500
1126,2018/6/28,MTX,201808,10392,一般,遠月,34,10400
1127,2018/6/29,MTX,201807W1,10663,盤後,近週,3,10650
1127,2018/6/29,MTX,201807,10558,盤後,近月,13,10600
1127,2018/6/29,MTX,201808,10426,盤後,遠月,33,10400
1128,2018/6/29,MTX,201807W1,10800,一般,近週,3,10800
1128,2018/6/29,MTX,201807,10678,一般,近月,13,10700
1128,2018/6/29,MTX,201808,10544,一般,遠月,33,10500
1129,2018/7/2,MTX,201807W1,10798,盤後,近週,2,10800
1129,2018/7/2,MTX,201807,10675,盤後,近月,12,10700
1129,2018/7/2,MTX,201808,10545,盤後,遠月,32,10500
1130,2018/7/2,MTX,201807W1,10738,一般,近週,2,10750
1130,2018/7/2,MTX,201807,10611,一般,近月,12,10600
1130,2018/7/2,MTX,201808,10481,一般,遠月,32,10500
1131,2018/7/3,MTX,201807W1,10779,盤後,近週,1,10800
1131,2018/7/3,MTX,201807,10652,盤後,近月,11,10700
1131,2018/7/3,MTX,201808,10518,盤後,遠月,31,10500
1132,2018/7/3,MTX,201807W1,10738,一般,近週,1,10750
1132,2018/7/3,MTX,201807,10622,一般,近月,11,10600
1132,2018/7/3,MTX,201808,10488,一般,遠月,31,10500
1133,2018/7/4,MTX,201807W1,10707,盤後,近週,0,10700
1133,2018/7/4,MTX,201807,10595,盤後,近月,10,10600
1133,2018/7/4,MTX,201808,10462,盤後,遠月,30,10500
1134,2018/7/4,MTX,201807W1,10729,一般,近週,0,10750
1134,2018/7/4,MTX,201807,10618,一般,近月,10,10600
1134,2018/7/4,MTX,201807W2,10654,一般,遠週,5,10650
1134,2018/7/4,MTX,201808,10488,一般,遠月,30,10500
1135,2018/7/5,MTX,201807W2,10672,盤後,近週,4,10650
1135,2018/7/5,MTX,201807,10633,盤後,近月,9,10600
1135,2018/7/5,MTX,201808,10503,盤後,遠月,29,10500
1136,2018/7/5,MTX,201807W2,10539,一般,近週,4,10550
1136,2018/7/5,MTX,201807,10499,一般,近月,9,10500
1136,2018/7/5,MTX,201808,10376,一般,遠月,29,10400
1137,2018/7/6,MTX,201807W2,10575,盤後,近週,3,10600
1137,2018/7/6,MTX,201807,10539,盤後,近月,8,10500
1137,2018/7/6,MTX,201808,10412,盤後,遠月,28,10400
1138,2018/7/6,MTX,201807W2,10568,一般,近週,3,10550
1138,2018/7/6,MTX,201807,10541,一般,近月,8,10500
1138,2018/7/6,MTX,201808,10412,一般,遠月,28,10400
1139,2018/7/9,MTX,201807W2,10596,盤後,近週,2,10600
1139,2018/7/9,MTX,201807,10562,盤後,近月,7,10600
1139,2018/7/9,MTX,201808,10435,盤後,遠月,27,10400
1140,2018/7/9,MTX,201807W2,10692,一般,近週,2,10700
1140,2018/7/9,MTX,201807,10663,一般,近月,7,10700
1140,2018/7/9,MTX,201808,10534,一般,遠月,27,10500
1141,2018/7/10,MTX,201807W2,10725,盤後,近週,1,10750
1141,2018/7/10,MTX,201807,10714,盤後,近月,6,10700
1141,2018/7/10,MTX,201808,10585,盤後,遠月,26,10600
1142,2018/7/10,MTX,201807W2,10729,一般,近週,1,10750
1142,2018/7/10,MTX,201807,10709,一般,近月,6,10700
1142,2018/7/10,MTX,201808,10578,一般,遠月,26,10600
1143,2018/7/11,MTX,201807W2,10655,一般,近週,0,10650
1143,2018/7/11,MTX,201807,10615,一般,近月,5,10600
1143,2018/7/11,MTX,201808,10487,一般,遠月,25,10500
1144,2018/7/12,MTX,201807,10614,盤後,近月,4,10600
1144,2018/7/12,MTX,201808,10485,盤後,遠月,24,10500
1145,2018/7/12,MTX,201807,10740,一般,近月,4,10750
1145,2018/7/12,MTX,201808,10610,一般,遠月,24,10600
1146,2018/7/13,MTX,201807,10779,盤後,近月,3,10800
1146,2018/7/13,MTX,201808,10650,盤後,遠月,23,10700
1147,2018/7/13,MTX,201807,10850,一般,近月,3,10850
1147,2018/7/13,MTX,201808,10721,一般,遠月,23,10700
1148,2018/7/16,MTX,201807,10846,盤後,近月,2,10850
1148,2018/7/16,MTX,201808,10717,盤後,遠月,22,10700
1149,2018/7/16,MTX,201807,10814,一般,近月,2,10800
1149,2018/7/16,MTX,201808,10700,一般,遠月,22,10700
1150,2018/7/17,MTX,201807,10821,盤後,近月,1,10800
1150,2018/7/17,MTX,201808,10706,盤後,遠月,21,10700
1151,2018/7/17,MTX,201807,10769,一般,近月,1,10750
1151,2018/7/17,MTX,201808,10661,一般,遠月,21,10700
1152,2018/7/18,MTX,201807,10815,盤後,近月,0,10800
1152,2018/7/18,MTX,201808,10709,盤後,遠月,20,10700
1153,2018/7/18,MTX,201807,10843,一般,近月,0,10850
1153,2018/7/18,MTX,201807W4,10802,一般,遠週,5,10800
1153,2018/7/18,MTX,201808,10717,一般,遠月,20,10700
1154,2018/7/19,MTX,201807W4,10854,盤後,近週,4,10850
1154,2018/7/19,MTX,201808,10757,盤後,近月,19,10800
1154,2018/7/19,MTX,201809,10712,盤後,遠月,44,10700
1155,2018/7/19,MTX,201807W4,10808,一般,近週,4,10800
1155,2018/7/19,MTX,201808,10721,一般,近月,19,10700
1155,2018/7/19,MTX,201809,10680,一般,遠月,44,10700
1156,2018/7/20,MTX,201807W4,10844,盤後,近週,3,10850
1156,2018/7/20,MTX,201808,10758,盤後,近月,18,10800
1156,2018/7/20,MTX,201809,10715,盤後,遠月,43,10700
1157,2018/7/20,MTX,201807W4,10908,一般,近週,3,10900
1157,2018/7/20,MTX,201808,10824,一般,近月,18,10800
1157,2018/7/20,MTX,201809,10785,一般,遠月,43,10800
1158,2018/7/23,MTX,201807W4,10940,盤後,近週,2,10950
1158,2018/7/23,MTX,201808,10858,盤後,近月,17,10900
1158,2018/7/23,MTX,201809,10821,盤後,遠月,42,10800
1159,2018/7/23,MTX,201807W4,10915,一般,近週,2,10900
1159,2018/7/23,MTX,201808,10831,一般,近月,17,10800
1159,2018/7/23,MTX,201809,10789,一般,遠月,42,10800
1160,2018/7/24,MTX,201807W4,10922,盤後,近週,1,10900
1160,2018/7/24,MTX,201808,10844,盤後,近月,16,10800
1160,2018/7/24,MTX,201809,10804,盤後,遠月,41,10800
1161,2018/7/24,MTX,201807W4,10969,一般,近週,1,10950
1161,2018/7/24,MTX,201808,10873,一般,近月,16,10900
1161,2018/7/24,MTX,201809,10832,一般,遠月,41,10800
1162,2018/7/25,MTX,201807W4,10975,盤後,近週,0,11000
1162,2018/7/25,MTX,201808,10875,盤後,近月,15,10900
1162,2018/7/25,MTX,201809,10836,盤後,遠月,40,10800
1163,2018/7/25,MTX,201807W4,10970,一般,近週,0,10950
1163,2018/7/25,MTX,201808,10865,一般,近月,15,10900
1163,2018/7/25,MTX,201808W1,10915,一般,遠週,5,10900
1163,2018/7/25,MTX,201809,10825,一般,遠月,40,10800
1164,2018/7/26,MTX,201808W1,10974,盤後,近週,4,10950
1164,2018/7/26,MTX,201808,10925,盤後,近月,14,10900
1164,2018/7/26,MTX,201809,10882,盤後,遠月,39,10900
1165,2018/7/26,MTX,201808W1,10965,一般,近週,4,10950
1165,2018/7/26,MTX,201808,10913,一般,近月,14,10900
1165,2018/7/26,MTX,201809,10871,一般,遠月,39,10900
1166,2018/7/27,MTX,201808W1,10980,盤後,近週,3,11000
1166,2018/7/27,MTX,201808,10929,盤後,近月,13,10900
1166,2018/7/27,MTX,201809,10886,盤後,遠月,38,10900
1167,2018/7/27,MTX,201808W1,11037,一般,近週,3,11050
1167,2018/7/27,MTX,201808,10991,一般,近月,13,11000
